Country,Amount (USD),Transaction Type,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Person Involved
UAE,31233.3,Offshore Transfer,Real Estate,China,1,1,Low,8,6424
Russia,4719400.16,Cash Withdrawal,Casinos,USA,0,0,Low,5,5367
UK,152130.2,Cash Withdrawal,Real Estate,South Africa,1,0,High,6,1297
Singapore,563845.02,Cash Withdrawal,Oil & Gas,China,0,1,High,8,7206
China,1193565.43,Offshore Transfer,Real Estate,China,0,1,High,8,4991
UAE,4736359.24,Cash Withdrawal,Arms Trade,Russia,0,0,High,6,1639
Singapore,1140422.72,Offshore Transfer,Real Estate,South Africa,0,0,High,4,3945
Switzerland,4212195.21,Cash Withdrawal,Casinos,USA,0,0,High,7,9917
USA,481673.46,Property Purchase,Real Estate,Russia,0,1,Low,7,1473
UK,4962050.81,Property Purchase,Luxury Goods,USA,0,0,High,9,5325
Singapore,4796286.76,Stocks Transfer,Casinos,UAE,0,0,Low,3,4514
Russia,1387295.9,Stocks Transfer,Real Estate,Brazil,0,0,Low,7,1984
UAE,3102540.66,Stocks Transfer,Oil & Gas,Russia,0,0,High,1,904
South Africa,721596.68,Stocks Transfer,Casinos,UAE,0,0,High,8,5176
Singapore,1047558.53,Property Purchase,Finance,Brazil,1,1,High,1,9164
Switzerland,3825688.15,Cryptocurrency,Construction,India,1,0,High,2,8582
Russia,2426098.44,Cryptocurrency,Luxury Goods,India,0,0,High,5,5709
Brazil,1478322.44,Offshore Transfer,Finance,Singapore,0,1,Low,8,8100
UK,3684168.93,Stocks Transfer,Arms Trade,Singapore,0,0,High,0,4999
USA,337089.72,Cryptocurrency,Luxury Goods,South Africa,0,0,High,1,5871
UK,3545368.73,Offshore Transfer,Luxury Goods,Brazil,0,0,Low,0,3778
China,2570421.62,Property Purchase,Construction,USA,0,1,Low,4,5033
Brazil,4808348.65,Cash Withdrawal,Casinos,UAE,1,0,High,3,2040
South Africa,371943.16,Cash Withdrawal,Casinos,India,0,0,High,1,2718
South Africa,3775092.36,Cryptocurrency,Construction,Russia,0,1,High,2,2261
Russia,2732691.29,Offshore Transfer,Construction,South Africa,1,1,High,0,6946
India,4168405.92,Stocks Transfer,Finance,UAE,0,0,Low,6,3301
USA,2020865.68,Cash Withdrawal,Oil & Gas,South Africa,0,0,Low,7,3452
Russia,1659802.25,Offshore Transfer,Arms Trade,Russia,1,1,High,9,4823
Switzerland,828387.38,Property Purchase,Real Estate,Switzerland,1,1,Low,3,9614
Russia,582874.74,Cash Withdrawal,Finance,Brazil,1,0,Low,0,7078
China,1026057.77,Cryptocurrency,Real Estate,Brazil,0,0,Low,3,3519
Switzerland,1228433.42,Property Purchase,Arms Trade,Singapore,0,1,Low,6,3194
India,745747.52,Property Purchase,Arms Trade,UK,0,1,High,5,3900
Russia,1371932.11,Property Purchase,Real Estate,USA,0,1,Low,8,2944
UK,2045236.06,Stocks Transfer,Luxury Goods,UAE,0,1,High,3,7493
India,1895971.3,Stocks Transfer,Finance,South Africa,0,0,Low,2,1057
Brazil,3606929.99,Cash Withdrawal,Construction,USA,0,1,High,8,4397
Brazil,4214589.44,Cash Withdrawal,Real Estate,UAE,0,0,Low,5,1233
UAE,250493.13,Cryptocurrency,Arms Trade,UK,1,0,High,7,1917
USA,4666844.45,Cryptocurrency,Arms Trade,China,0,0,High,5,825
Singapore,4714437,Cash Withdrawal,Finance,Brazil,0,1,High,7,7129
Russia,619849.38,Cash Withdrawal,Casinos,South Africa,0,0,Low,5,8863
Singapore,333345.04,Stocks Transfer,Oil & Gas,Singapore,0,1,High,3,3291
UK,2964210.44,Cryptocurrency,Arms Trade,Switzerland,0,0,High,9,3954
Russia,4612391.99,Stocks Transfer,Real Estate,China,0,0,Low,4,7465
Switzerland,3305450.39,Cryptocurrency,Oil & Gas,China,1,1,Low,0,944
China,4191876.69,Property Purchase,Construction,UK,0,1,High,9,4189
Singapore,1678830.05,Stocks Transfer,Oil & Gas,UAE,0,0,High,1,1258
USA,2152245.67,Offshore Transfer,Casinos,Switzerland,0,0,Low,0,7276
China,28071.04,Cash Withdrawal,Real Estate,USA,0,0,High,9,1286
UAE,396461.59,Stocks Transfer,Real Estate,India,0,0,Low,5,3097
Switzerland,2860206.92,Cash Withdrawal,Casinos,USA,0,0,High,0,2444
Singapore,2149450.89,Property Purchase,Construction,UK,0,1,High,0,199
Brazil,3910411.26,Offshore Transfer,Luxury Goods,Switzerland,0,0,Low,4,7820
China,355157.88,Cash Withdrawal,Construction,Singapore,0,0,Low,6,5624
UAE,839828.47,Property Purchase,Construction,Russia,0,0,High,0,1481
UAE,239496.14,Property Purchase,Casinos,UK,0,1,Low,4,2636
China,3967219.83,Property Purchase,Oil & Gas,Brazil,1,0,High,8,5944
India,4427662.84,Cryptocurrency,Oil & Gas,UAE,0,0,High,6,9184
South Africa,3403568.59,Cash Withdrawal,Finance,Singapore,0,0,Low,9,4137
South Africa,4612725.46,Property Purchase,Real Estate,UK,0,0,Low,0,9516
UK,1929749.11,Stocks Transfer,Construction,Switzerland,1,0,Low,3,4734
Singapore,3970384.03,Cash Withdrawal,Arms Trade,UK,0,1,High,1,8315
Brazil,4822759.44,Cryptocurrency,Oil & Gas,UAE,0,0,High,5,1016
India,3086875.96,Property Purchase,Real Estate,Singapore,0,0,Low,2,3204
South Africa,2694814.7,Offshore Transfer,Real Estate,Brazil,0,0,High,8,9043
China,4024616.84,Cryptocurrency,Arms Trade,UAE,0,0,High,5,924
India,1282760.03,Cryptocurrency,Construction,India,0,0,Low,3,4207
India,2699138.97,Cash Withdrawal,Real Estate,Switzerland,0,1,High,1,8823
India,4780353.79,Offshore Transfer,Luxury Goods,UAE,0,0,Low,9,9801
Brazil,3834008.75,Stocks Transfer,Oil & Gas,Brazil,0,0,High,6,7355
UK,1193568.34,Cryptocurrency,Real Estate,USA,0,1,Low,5,9290
Brazil,936133.03,Property Purchase,Oil & Gas,Brazil,0,0,Low,3,667
USA,2925225.33,Property Purchase,Casinos,UK,0,0,High,6,4709
USA,3111818.66,Stocks Transfer,Arms Trade,Brazil,0,1,High,8,2480
UK,472203.6,Stocks Transfer,Construction,India,1,1,Low,5,8504
Russia,4651260.2,Offshore Transfer,Oil & Gas,Singapore,0,0,High,9,1150
Switzerland,59469.64,Cryptocurrency,Finance,Singapore,0,0,High,8,9931
UAE,1793034.67,Cash Withdrawal,Arms Trade,Switzerland,0,0,Low,4,1974
China,2033334.53,Cryptocurrency,Arms Trade,Switzerland,0,0,Low,5,1753
China,1711751.02,Cryptocurrency,Construction,UK,1,0,Low,1,1327
USA,3049261.17,Cash Withdrawal,Arms Trade,Brazil,0,1,High,7,351
Switzerland,1737825.33,Cash Withdrawal,Luxury Goods,USA,0,0,High,0,4637
China,4942588.35,Property Purchase,Construction,India,0,0,High,6,309
China,1154026.35,Cryptocurrency,Construction,USA,1,0,High,7,5694
China,2718006.59,Property Purchase,Luxury Goods,UAE,0,0,High,2,635
Russia,3120915.06,Property Purchase,Finance,UAE,0,0,High,4,4915
South Africa,2895523.14,Offshore Transfer,Arms Trade,Russia,0,0,High,8,4752
South Africa,3315419.98,Property Purchase,Construction,Brazil,0,1,Low,4,2555
South Africa,3581183.42,Property Purchase,Luxury Goods,Russia,0,0,High,6,8313
China,1303842.3,Cash Withdrawal,Luxury Goods,Brazil,0,0,Low,6,5998
China,1090089.52,Offshore Transfer,Luxury Goods,South Africa,0,0,Low,7,3257
South Africa,1981663.35,Cryptocurrency,Casinos,India,0,0,Low,2,5526
UK,2157528.01,Property Purchase,Luxury Goods,UK,0,0,Low,2,3107
South Africa,4361834.26,Cash Withdrawal,Construction,Russia,0,0,High,6,977
Brazil,1919001.93,Cryptocurrency,Luxury Goods,Singapore,0,1,Low,5,8295
Switzerland,3575698.4,Cash Withdrawal,Arms Trade,USA,0,0,High,0,9616
USA,967252.34,Cash Withdrawal,Arms Trade,UAE,0,0,High,7,440
China,3065653.5,Property Purchase,Construction,China,1,1,High,5,1198
UAE,1046334.36,Cash Withdrawal,Oil & Gas,Brazil,0,1,Low,2,4327
Brazil,3366439.26,Offshore Transfer,Oil & Gas,Singapore,0,0,Low,0,3781
Russia,3556378.23,Cryptocurrency,Luxury Goods,Switzerland,1,1,Low,8,2509
USA,604001.61,Stocks Transfer,Construction,Singapore,0,0,High,5,3000
Brazil,668465.98,Cash Withdrawal,Construction,Switzerland,1,1,Low,7,1257
USA,1886555.37,Cash Withdrawal,Luxury Goods,South Africa,0,0,Low,7,3969
South Africa,4589528.9,Cryptocurrency,Oil & Gas,UK,0,0,Low,9,9512
Brazil,3966196.12,Offshore Transfer,Oil & Gas,Brazil,0,1,High,3,2220
China,3779809.45,Cash Withdrawal,Oil & Gas,China,0,0,Low,5,4626
South Africa,2348501.46,Stocks Transfer,Real Estate,Brazil,1,0,High,7,8456
Brazil,4305417.14,Offshore Transfer,Casinos,South Africa,1,1,High,7,7779
India,2919103.55,Cryptocurrency,Oil & Gas,South Africa,0,0,Low,6,4033
Switzerland,2722280.08,Cash Withdrawal,Arms Trade,Switzerland,0,0,Low,2,541
USA,2611155.03,Cash Withdrawal,Finance,Singapore,1,0,High,5,7125
UAE,1748407.25,Cash Withdrawal,Arms Trade,Switzerland,0,0,Low,3,3120
China,1540678.57,Property Purchase,Luxury Goods,Singapore,1,0,Low,3,469
UAE,4710790.81,Cash Withdrawal,Arms Trade,South Africa,0,0,High,2,5975
India,2586595.4,Cryptocurrency,Finance,Switzerland,0,1,High,2,6834
Brazil,2642851.95,Cryptocurrency,Oil & Gas,Brazil,0,1,High,8,2660
UK,3912219.6,Property Purchase,Real Estate,USA,0,0,High,3,5709
India,4728518.23,Stocks Transfer,Casinos,UK,0,0,Low,8,630
South Africa,4979335,Cash Withdrawal,Oil & Gas,UK,0,0,High,2,3039
Russia,1155164.06,Cash Withdrawal,Real Estate,Switzerland,0,0,High,2,2218
Brazil,4236540.4,Cryptocurrency,Casinos,UAE,0,0,High,9,7975
India,4119694.41,Cryptocurrency,Casinos,South Africa,0,1,High,5,4914
India,4151957.95,Property Purchase,Real Estate,Singapore,0,1,Low,2,4260
UAE,960913.29,Cryptocurrency,Construction,UK,0,0,Low,0,5425
China,3039880.53,Cryptocurrency,Construction,Brazil,0,1,Low,0,6687
India,4502441.23,Stocks Transfer,Finance,South Africa,0,1,High,9,1572
USA,2081799.28,Offshore Transfer,Luxury Goods,Switzerland,0,0,Low,6,664
Brazil,3772196.99,Offshore Transfer,Oil & Gas,India,0,0,Low,0,5558
Singapore,3799528.09,Cryptocurrency,Finance,Russia,0,1,High,6,3614
Russia,2026067.15,Stocks Transfer,Luxury Goods,Russia,0,1,Low,7,5310
UK,2406667.17,Cash Withdrawal,Finance,USA,0,1,High,4,9253
Russia,1555770.64,Property Purchase,Casinos,China,0,1,Low,8,4887
UK,3701054.15,Offshore Transfer,Construction,USA,0,0,High,0,3098
China,961547.37,Cryptocurrency,Casinos,India,1,0,High,9,3266
South Africa,1661930.03,Property Purchase,Casinos,India,1,0,High,4,8314
UK,3445520.01,Property Purchase,Construction,South Africa,1,0,High,6,295
Brazil,3054726.74,Cryptocurrency,Arms Trade,China,0,0,Low,8,4307
UAE,1189535.5,Cryptocurrency,Construction,USA,0,0,Low,1,4643
Russia,1410347.02,Cryptocurrency,Oil & Gas,USA,1,0,Low,2,3330
China,4986818.38,Property Purchase,Casinos,Singapore,0,0,High,3,4417
India,977673.38,Stocks Transfer,Arms Trade,Russia,1,0,Low,9,3459
USA,2751170.55,Stocks Transfer,Luxury Goods,Singapore,0,1,Low,9,3548
UK,3311520.9,Property Purchase,Real Estate,India,0,1,Low,1,4856
USA,2363239.02,Cryptocurrency,Arms Trade,Singapore,1,0,Low,6,7072
South Africa,4207654.18,Offshore Transfer,Oil & Gas,UK,0,0,Low,4,8911
India,627381.62,Stocks Transfer,Casinos,UAE,1,0,Low,5,7413
Switzerland,623595.12,Cryptocurrency,Construction,China,0,1,High,3,7230
UK,972184.45,Cash Withdrawal,Finance,India,0,0,Low,5,5246
UAE,3776161.27,Stocks Transfer,Finance,Switzerland,1,1,High,5,6643
Brazil,2842877.57,Offshore Transfer,Arms Trade,UK,0,0,High,1,1327
Russia,3283587.54,Property Purchase,Oil & Gas,UK,0,0,Low,5,3293
China,2853892.45,Property Purchase,Oil & Gas,UAE,0,0,High,1,6979
Switzerland,2346925.46,Cryptocurrency,Casinos,Singapore,0,0,Low,9,4145
Switzerland,4641710.07,Offshore Transfer,Luxury Goods,USA,0,0,Low,1,3355
Singapore,2215612.67,Stocks Transfer,Finance,Switzerland,0,0,High,2,6129
UK,1687263.23,Cryptocurrency,Casinos,Singapore,1,0,High,0,7054
UAE,3456088.24,Property Purchase,Finance,India,0,0,Low,7,968
Switzerland,924074.95,Cryptocurrency,Construction,USA,0,0,Low,2,8890
Brazil,1163883.93,Property Purchase,Arms Trade,South Africa,0,0,High,9,9786
UAE,789538.33,Cash Withdrawal,Real Estate,USA,0,1,High,6,6887
UAE,4884843.81,Cryptocurrency,Arms Trade,Brazil,0,1,High,7,2959
Russia,4735906.72,Offshore Transfer,Real Estate,Brazil,1,1,High,1,5368
Singapore,1437679.82,Stocks Transfer,Real Estate,Brazil,0,1,Low,1,680
China,453499.25,Offshore Transfer,Construction,USA,0,0,High,6,7409
China,2603548.93,Cash Withdrawal,Casinos,Russia,0,1,High,5,8026
USA,4046574.12,Offshore Transfer,Luxury Goods,Singapore,0,1,Low,6,3609
South Africa,650241.2,Offshore Transfer,Luxury Goods,Russia,1,0,Low,7,4567
Singapore,4881523.67,Offshore Transfer,Arms Trade,Singapore,0,0,High,0,8105
Switzerland,2667194.36,Offshore Transfer,Casinos,USA,0,0,Low,7,9501
Switzerland,3711822.98,Cryptocurrency,Oil & Gas,Switzerland,1,0,High,0,7435
South Africa,1962537.32,Stocks Transfer,Finance,Switzerland,0,0,Low,0,5764
Singapore,4833411.44,Offshore Transfer,Luxury Goods,Singapore,1,0,High,1,1639
UK,2323897.13,Property Purchase,Real Estate,India,0,0,High,2,17
India,1412808.89,Cash Withdrawal,Oil & Gas,Singapore,0,0,High,7,6027
Brazil,4160371.03,Offshore Transfer,Construction,China,1,0,High,4,2776
UAE,3032290.65,Cash Withdrawal,Oil & Gas,South Africa,0,0,High,6,3616
Brazil,1381746.7,Property Purchase,Arms Trade,UK,1,0,High,8,4096
UK,2963066.64,Cash Withdrawal,Construction,USA,1,0,Low,0,8734
Russia,339314.68,Property Purchase,Oil & Gas,Switzerland,0,0,High,5,5998
South Africa,99632.72,Offshore Transfer,Casinos,India,0,0,High,5,1965
Russia,4348750.5,Stocks Transfer,Oil & Gas,Switzerland,0,1,High,5,6817
China,957369.34,Stocks Transfer,Casinos,South Africa,0,1,Low,0,6662
Russia,4943124,Stocks Transfer,Arms Trade,Russia,0,0,High,8,3815
Singapore,2678581.49,Property Purchase,Oil & Gas,Switzerland,1,0,High,7,9512
USA,4614572.51,Cash Withdrawal,Real Estate,Brazil,0,0,High,6,2792
Switzerland,4909079.65,Property Purchase,Arms Trade,China,0,1,Low,2,346
Singapore,4343738.63,Cryptocurrency,Construction,UK,0,0,High,5,279
USA,2874099.5,Cryptocurrency,Finance,South Africa,0,0,Low,5,431
India,3137008.75,Offshore Transfer,Finance,India,0,0,Low,8,9252
Russia,4143685.02,Offshore Transfer,Construction,Brazil,0,0,High,4,4858
USA,1762514.37,Property Purchase,Casinos,Russia,1,1,Low,0,2394
China,3174361.46,Stocks Transfer,Real Estate,Switzerland,0,0,High,6,6003
Brazil,1862100.45,Property Purchase,Casinos,China,1,1,High,1,646
Brazil,3607766.16,Offshore Transfer,Finance,South Africa,0,0,High,5,9122
Russia,4561948.98,Cash Withdrawal,Arms Trade,UAE,0,1,High,8,8484
India,2323920.78,Stocks Transfer,Casinos,USA,1,0,Low,2,4527
Switzerland,1023485.77,Cryptocurrency,Finance,USA,0,0,High,4,8438
China,3709194.17,Property Purchase,Real Estate,Russia,0,0,Low,1,7296
USA,4848269.43,Offshore Transfer,Construction,Switzerland,0,0,Low,5,638
Brazil,4235010.09,Stocks Transfer,Oil & Gas,USA,0,0,Low,1,9438
Brazil,525504.76,Stocks Transfer,Finance,Singapore,0,0,High,4,3397
China,1929875.35,Stocks Transfer,Real Estate,Brazil,0,0,Low,1,4359
Singapore,2529406.01,Cash Withdrawal,Oil & Gas,UK,0,0,High,1,8225
Switzerland,215132.86,Stocks Transfer,Luxury Goods,Brazil,0,1,High,2,9250
Brazil,245449.23,Property Purchase,Oil & Gas,India,0,0,Low,4,6347
China,1149440.24,Offshore Transfer,Arms Trade,UAE,1,0,High,9,6895
Switzerland,2276955.64,Property Purchase,Casinos,Russia,1,0,High,5,1618
South Africa,2392571.05,Stocks Transfer,Casinos,UK,0,0,Low,6,2176
India,1651331.63,Cryptocurrency,Arms Trade,Russia,0,1,High,1,3071
Switzerland,2757990.04,Cryptocurrency,Casinos,India,0,0,Low,6,8991
Brazil,2289580.92,Cash Withdrawal,Oil & Gas,Russia,0,0,High,2,2436
USA,329760.51,Cash Withdrawal,Luxury Goods,Russia,0,1,Low,6,4610
South Africa,1420260.81,Property Purchase,Casinos,Singapore,0,0,High,0,5057
UAE,1983107.5,Stocks Transfer,Oil & Gas,Singapore,0,0,Low,6,7539
Singapore,2912316.5,Cash Withdrawal,Casinos,UK,0,1,High,3,7696
China,348171.95,Offshore Transfer,Luxury Goods,Russia,0,0,Low,6,7568
South Africa,4440059.13,Property Purchase,Real Estate,South Africa,0,1,High,0,6160
Brazil,2948593.81,Stocks Transfer,Arms Trade,Russia,0,0,High,0,1975
UK,4299018.2,Cryptocurrency,Luxury Goods,Switzerland,0,0,Low,8,4495
UAE,2158244.85,Cryptocurrency,Real Estate,UAE,0,0,Low,1,7104
Singapore,576414.69,Property Purchase,Real Estate,Brazil,0,0,Low,7,4072
Switzerland,912890.31,Property Purchase,Oil & Gas,Russia,1,0,Low,5,5893
UAE,2968724.47,Property Purchase,Luxury Goods,Switzerland,0,0,Low,6,3478
China,3432220.1,Cryptocurrency,Construction,Singapore,0,1,Low,1,1551
India,210928.26,Cryptocurrency,Real Estate,Singapore,0,0,Low,3,9778
UK,3749045.25,Cash Withdrawal,Oil & Gas,Switzerland,0,0,Low,2,5172
China,2354449.47,Cash Withdrawal,Finance,India,0,0,Low,1,9449
Singapore,1032488.75,Cryptocurrency,Luxury Goods,Russia,0,0,Low,7,1663
China,837273.7,Property Purchase,Arms Trade,Singapore,1,0,High,8,383
UK,2050428.6,Offshore Transfer,Finance,India,0,1,Low,6,9210
USA,4903670.87,Cash Withdrawal,Oil & Gas,UK,1,1,Low,9,1333
India,3551551.43,Offshore Transfer,Arms Trade,USA,0,0,High,7,9373
Brazil,3439961.43,Property Purchase,Oil & Gas,Brazil,0,0,High,6,7932
Russia,613327.31,Offshore Transfer,Finance,USA,0,0,High,5,346
Switzerland,3074963.44,Stocks Transfer,Arms Trade,Singapore,0,0,Low,2,4232
South Africa,3732641.23,Stocks Transfer,Arms Trade,China,0,0,High,3,23
Singapore,4026354.67,Offshore Transfer,Real Estate,UAE,1,1,Low,4,6867
Brazil,2100689.81,Offshore Transfer,Real Estate,Russia,0,0,High,9,4142
Brazil,506353.11,Property Purchase,Luxury Goods,Russia,0,0,Low,5,588
UAE,643569.15,Property Purchase,Oil & Gas,China,0,0,High,1,9916
UAE,3333473.33,Property Purchase,Finance,India,0,0,High,4,5911
Switzerland,1895998.11,Offshore Transfer,Finance,India,0,0,High,3,2428
Switzerland,248690.28,Property Purchase,Arms Trade,Switzerland,0,0,Low,0,1013
South Africa,1097290.67,Property Purchase,Real Estate,China,0,0,Low,6,877
UK,1210446.45,Cryptocurrency,Oil & Gas,Brazil,0,1,Low,8,2332
South Africa,3237247.14,Offshore Transfer,Luxury Goods,Switzerland,0,1,Low,7,201
USA,2804654.88,Offshore Transfer,Luxury Goods,UK,1,0,High,1,8847
Brazil,414265.57,Offshore Transfer,Casinos,Brazil,1,0,High,5,8154
China,484310.94,Cryptocurrency,Casinos,Brazil,1,0,High,2,8833
South Africa,2876748.5,Stocks Transfer,Oil & Gas,India,0,0,High,0,4900
China,1499542.39,Stocks Transfer,Luxury Goods,Russia,0,0,High,8,8885
Russia,3221024.52,Property Purchase,Real Estate,China,1,0,Low,6,3098
UAE,861491.75,Cryptocurrency,Arms Trade,UK,0,1,Low,4,8677
Russia,2617835.64,Property Purchase,Casinos,Singapore,0,0,High,0,3192
UAE,162205.55,Property Purchase,Arms Trade,USA,1,1,Low,9,3915
Singapore,4245951.99,Cash Withdrawal,Oil & Gas,China,0,0,Low,4,9822
Singapore,4682130.25,Cryptocurrency,Construction,Brazil,0,1,High,3,3151
Singapore,3142972.38,Property Purchase,Arms Trade,Russia,0,1,Low,3,4282
India,158571.48,Cash Withdrawal,Construction,Switzerland,0,1,High,0,551
USA,4376774.72,Cryptocurrency,Casinos,Brazil,1,0,High,2,4621
UK,2830626.3,Cash Withdrawal,Arms Trade,Singapore,0,0,High,2,2595
USA,1612001.93,Property Purchase,Arms Trade,Russia,0,1,Low,7,5440
South Africa,3191665.81,Cash Withdrawal,Casinos,UAE,0,0,Low,5,4199
India,3665576.84,Offshore Transfer,Real Estate,India,0,0,Low,2,5114
South Africa,3727911.54,Cash Withdrawal,Luxury Goods,USA,0,0,Low,4,3600
USA,2314601.51,Offshore Transfer,Luxury Goods,China,0,0,Low,2,6847
Singapore,4625307.4,Offshore Transfer,Casinos,USA,0,0,High,8,4072
Singapore,846823.18,Property Purchase,Finance,China,0,0,High,3,3037
UAE,2665622.41,Stocks Transfer,Luxury Goods,India,1,1,Low,7,779
China,2348624.09,Stocks Transfer,Arms Trade,Russia,0,1,Low,7,5042
Switzerland,1929922.15,Stocks Transfer,Oil & Gas,South Africa,0,0,High,0,4507
India,3515865.44,Offshore Transfer,Construction,Switzerland,0,1,Low,0,5949
Singapore,3159371.36,Cash Withdrawal,Finance,UK,0,0,Low,2,6522
Russia,1902337.69,Offshore Transfer,Real Estate,UAE,0,0,Low,4,6377
China,39246.79,Cash Withdrawal,Real Estate,Russia,0,1,Low,9,4618
Brazil,1627081.79,Cash Withdrawal,Arms Trade,Brazil,1,1,Low,6,5514
UK,415978.69,Property Purchase,Luxury Goods,UK,1,0,Low,0,8993
China,2008635.62,Offshore Transfer,Luxury Goods,China,0,1,Low,3,1878
Singapore,3392699.22,Cash Withdrawal,Luxury Goods,Brazil,0,0,High,3,5629
India,842408.28,Stocks Transfer,Finance,China,1,1,Low,6,2911
UK,4545020.84,Property Purchase,Casinos,Russia,0,0,Low,4,9062
USA,3642020.57,Cryptocurrency,Oil & Gas,Brazil,0,1,Low,7,4844
Singapore,548736.81,Cryptocurrency,Construction,USA,0,0,High,0,4993
Switzerland,3389338.44,Cryptocurrency,Real Estate,Singapore,1,0,High,4,221
China,1548063.85,Cryptocurrency,Arms Trade,UK,0,1,High,6,999
Switzerland,1570177.9,Property Purchase,Luxury Goods,South Africa,0,1,Low,9,5455
UK,4638004.23,Cash Withdrawal,Finance,Russia,0,0,Low,1,4275
South Africa,3852056.16,Cash Withdrawal,Real Estate,Brazil,0,0,High,1,1617
South Africa,4362057.37,Property Purchase,Oil & Gas,South Africa,0,0,Low,4,6790
Singapore,4671692.67,Cryptocurrency,Finance,USA,0,0,High,3,7556
Switzerland,4957967.55,Property Purchase,Construction,USA,0,0,Low,3,7123
UAE,4400011.5,Offshore Transfer,Luxury Goods,USA,1,0,High,0,3117
South Africa,3011755.47,Offshore Transfer,Arms Trade,UK,0,0,High,4,3950
Singapore,4936707.98,Property Purchase,Construction,Singapore,0,0,High,4,2113
India,1819993.76,Stocks Transfer,Oil & Gas,India,0,1,High,7,7695
Singapore,4929144.33,Cash Withdrawal,Oil & Gas,South Africa,0,0,High,6,7218
South Africa,803587.79,Property Purchase,Oil & Gas,UK,0,0,High,6,1142
China,2248592.64,Property Purchase,Construction,Switzerland,0,1,High,7,5139
Singapore,2651965.43,Offshore Transfer,Arms Trade,Brazil,0,0,High,2,9967
UAE,1884674.04,Property Purchase,Casinos,UK,0,0,Low,2,4385
Russia,3471417.55,Property Purchase,Casinos,Singapore,0,0,High,3,9382
Russia,2109732.16,Property Purchase,Casinos,UK,0,0,Low,8,7187
South Africa,988464.91,Property Purchase,Luxury Goods,Singapore,0,0,Low,6,3044
India,4228357.47,Offshore Transfer,Arms Trade,Singapore,0,0,High,5,360
Russia,365951.93,Property Purchase,Oil & Gas,South Africa,0,0,High,7,9821
Singapore,3300161.33,Property Purchase,Luxury Goods,Switzerland,1,0,Low,7,9292
India,608505.13,Cryptocurrency,Finance,USA,0,0,Low,0,8393
India,1272707.86,Offshore Transfer,Finance,Singapore,0,0,High,2,2139
Brazil,3085768.1,Stocks Transfer,Casinos,Switzerland,0,0,High,3,8958
UAE,77247.67,Offshore Transfer,Luxury Goods,Singapore,0,0,Low,0,4356
USA,2144502.54,Offshore Transfer,Arms Trade,UAE,0,0,High,2,996
Switzerland,2897025.44,Cash Withdrawal,Real Estate,Russia,1,1,Low,8,2557
Singapore,3847900.99,Stocks Transfer,Arms Trade,UK,0,0,Low,5,428
USA,3187034.58,Cryptocurrency,Finance,Singapore,0,1,Low,7,7074
China,4540720.27,Cryptocurrency,Arms Trade,USA,0,1,High,8,8099
UK,1760220.36,Cryptocurrency,Casinos,Brazil,1,0,Low,7,8526
India,1854050.11,Property Purchase,Oil & Gas,India,0,1,Low,0,3216
China,617081.93,Stocks Transfer,Real Estate,Singapore,0,0,Low,0,153
South Africa,3329320.91,Stocks Transfer,Real Estate,UAE,0,0,High,7,9357
Brazil,4529865.66,Property Purchase,Arms Trade,UAE,0,0,High,9,5555
Singapore,2021029.57,Offshore Transfer,Luxury Goods,Singapore,0,0,Low,5,9078
UK,2928735.96,Property Purchase,Oil & Gas,Brazil,0,1,High,6,888
Brazil,2534304.43,Offshore Transfer,Oil & Gas,Singapore,0,0,High,9,639
UAE,3062638.52,Offshore Transfer,Construction,South Africa,0,1,High,3,6268
Singapore,1271706.4,Property Purchase,Finance,Switzerland,1,0,High,6,368
Singapore,4940014.35,Cash Withdrawal,Casinos,Switzerland,0,1,Low,3,9811
India,2986651,Stocks Transfer,Arms Trade,Russia,0,0,Low,0,3445
South Africa,405035.8,Cryptocurrency,Casinos,USA,0,0,Low,3,3895
South Africa,741103.92,Cryptocurrency,Luxury Goods,China,0,0,High,4,5887
China,2219103.76,Cash Withdrawal,Luxury Goods,India,0,1,Low,4,5385
Switzerland,323739.94,Property Purchase,Finance,South Africa,0,0,High,3,6620
South Africa,4700467.79,Property Purchase,Finance,Russia,0,1,High,6,1725
Singapore,2656881,Stocks Transfer,Casinos,Russia,1,0,High,3,9953
UK,1928413.9,Cryptocurrency,Arms Trade,South Africa,0,0,High,0,7454
UK,629079.31,Stocks Transfer,Real Estate,Brazil,0,0,High,2,2474
South Africa,752873.11,Stocks Transfer,Real Estate,UK,0,0,High,4,424
Switzerland,1466213.35,Offshore Transfer,Casinos,India,0,0,High,9,2998
Brazil,767547.83,Offshore Transfer,Construction,UK,0,0,High,3,9224
China,1489739.34,Cash Withdrawal,Oil & Gas,South Africa,0,0,Low,4,5693
USA,377621.06,Stocks Transfer,Arms Trade,USA,0,0,High,1,4103
USA,4673327.44,Cryptocurrency,Arms Trade,China,0,0,Low,5,933
Singapore,1711608.71,Property Purchase,Arms Trade,USA,0,0,High,6,9027
India,1863797.38,Stocks Transfer,Casinos,Russia,0,1,High,6,709
Singapore,3185221.17,Stocks Transfer,Casinos,India,0,1,Low,6,9883
Brazil,960020.67,Offshore Transfer,Finance,Switzerland,1,0,High,8,4915
China,1735057.12,Cryptocurrency,Oil & Gas,UK,0,0,High,6,4859
